"go_description","NES","pval","padj"
"regulation of double-strand break repair via homologous recombination",-2.22709060719294,5.16693849737952e-07,7.44099224302853e-06
"protein localization to plasma membrane",1.83493449505532,5.3835056416004e-07,7.70805981170184e-06
"regulation of DNA biosynthetic process",-2.24176385179118,6.08958885693046e-07,8.66891471184871e-06
"chromosome organization involved in meiotic cell cycle",-2.30831902938646,6.19892375624936e-07,8.77413379670266e-06
"regulation of telomere maintenance via telomere lengthening",-2.22236257194214,6.86877127106413e-07,9.66701502183287e-06
"lipid oxidation",2.05630085253678,8.39006309473197e-07,1.17413481839837e-05
"negative regulation of RNA splicing",-2.34746006171572,8.66344014576042e-07,1.20558096859823e-05
"maturation of 5.8S rRNA",-2.33099087130931,8.92294411326016e-07,1.23475600941594e-05
"regulation of actin filament-based movement",2.23730882396596,1.04374735905392e-06,1.42837691070528e-05
"macromolecule methylation",-2.00308520719103,1.03994684456147e-06,1.42837691070528e-05
"response to metal ion",1.78173698795927,1.10334906077982e-06,1.50164594700638e-05
"negative regulation of mRNA processing",-2.34650490403815,1.32918554099487e-06,1.79912163117174e-05
"cytoskeleton-dependent cytokinesis",-1.98934044202089,1.34628233776359e-06,1.81235942969588e-05
"positive regulation of double-strand break repair",-2.1116198048061,1.39832298322155e-06,1.87224109699447e-05
"RNA 5'-end processing",-2.32004662743326,1.42480348771896e-06,1.8974399134838e-05
"centriole assembly",-2.27751811330567,1.5011579456906e-06,1.98843220934525e-05
"negative regulation of DNA metabolic process",-2.04170598325163,1.57597352507039e-06,2.07642894765924e-05
"fatty acid beta-oxidation",2.08117799119785,1.62882734361082e-06,2.11734807739331e-05
"muscle hypertrophy",2.05532149317356,1.62600930322395e-06,2.11734807739331e-05
"lipid modification",1.96601333475064,1.63267453686767e-06,2.11734807739331e-05
"attachment of mitotic spindle microtubules to kinetochore",-2.3776382925312,1.65918119983962e-06,2.14051657916809e-05
"regulation of mRNA splicing, via spliceosome",-2.02188882858221,1.88745118179933e-06,2.42239200897251e-05
"membraneless organelle assembly",-1.66747008090006,2.05767884026983e-06,2.62725282853009e-05
"regulation of telomere maintenance via telomerase",-2.25157424571988,2.17147155698179e-06,2.75832566494558e-05
"positive regulation of monoatomic ion transmembrane transport",2.05205561724869,2.20006820929588e-06,2.78039232368668e-05
"regulation of release of sequestered calcium ion into cytosol",2.12618984119177,2.54619126186796e-06,3.2014800790086e-05
"action potential",1.92356733829997,2.56713185576019e-06,3.2115078821808e-05
"regulation of microtubule-based process",-1.77045918725629,2.87189553138664e-06,3.57471619660538e-05
"calcium ion transport",1.75872481244713,2.96614090741885e-06,3.67356551383825e-05
"cardiac chamber morphogenesis",1.93796809069354,3.0276349884643e-06,3.73107058031148e-05
"protein localization to membrane",1.68354512593222,3.04327914249331e-06,3.73178338413659e-05
"positive regulation of telomere maintenance",-2.14942469683329,3.07854205404466e-06,3.75642791520622e-05
"interstrand cross-link repair",-2.22498231156064,3.11513812257184e-06,3.78244957333846e-05
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-2.30624503199039,3.80155687847474e-06,4.59339335999118e-05
"ventricular cardiac muscle tissue development",2.05815585052542,4.50438958268319e-06,5.41620048364381e-05
"protein-DNA complex organization",-1.94628557754495,5.20458857888428e-06,6.22790623666491e-05
"epigenetic regulation of gene expression",-1.71190197130207,5.2686870628536e-06,6.27429704552326e-05
"striated muscle adaptation",2.16163565024637,5.40063127674833e-06,6.40065247488307e-05
"spindle localization",-2.08430909305842,5.48268005406202e-06,6.46695166376744e-05
"response to peptide hormone",1.64785603133784,6.13425835552433e-06,7.20121229698282e-05
"cardiac muscle cell action potential",2.02719092031148,6.92217518774705e-06,8.08784336794785e-05
"cardiac chamber development",1.83390206549125,7.07346861797174e-06,8.2258130360169e-05
"calcium ion transmembrane import into cytosol",1.86839989694123,7.35803690402804e-06,8.51675579966237e-05
"ATP metabolic process",1.81164329792175,7.60217211803197e-06,8.75840945877451e-05
"mitotic G2/M transition checkpoint",-2.08159585958923,7.84731409460823e-06,8.99898009830767e-05
"GO:0051208",1.93810246341141,7.97197780084806e-06,9.09981060493117e-05
"tRNA metabolic process",-1.8094838941229,8.59776070148248e-06,9.76910699888629e-05
"response to oxygen levels",1.71051378505181,8.64949721360907e-06,9.7830157982236e-05
"regulation of cytosolic calcium ion concentration",2.13098684987687,9.08446632730641e-06,0.000102282832239718
"base-excision repair",-2.13490757869263,1.01441897600761e-05,0.000113697547672889
"rRNA modification",-2.19661052590794,1.03719696404606e-05,0.000115726886483878
"Golgi vesicle transport",1.68831857106096,1.07057297096567e-05,0.000118915212963317
"female gamete generation",-1.8556072197877,1.1712017397626e-05,0.000129511906669284
"ventricular cardiac muscle tissue morphogenesis",2.07728927068148,1.19480328158967e-05,0.000131534565711005
"regulation of cytokinesis",-2.00236970159808,1.33320637091612e-05,0.000146121777909701
"proton motive force-driven ATP synthesis",1.99842855490013,1.38553869693399e-05,0.000151188517722709
"positive regulation of cytokinesis",-2.17406650494895,1.4253949005668e-05,0.000154855402136139
"ventricular cardiac muscle cell action potential",2.15973408693096,1.62086059015983e-05,0.000175321907503314
"potassium ion transport",1.78334869921736,1.67308199556539e-05,0.000180183656652847
"positive regulation of nuclear division",-2.09745430221973,1.71867282682589e-05,0.000184292320002067
"transcription by RNA polymerase I",-2.06516163288327,1.76117437781189e-05,0.000187536505526343
"negative regulation of gene expression, epigenetic",-1.81077939704668,1.76406967249245e-05,0.000187536505526343
"striated muscle cell apoptotic process",2.07878676275638,1.89308877150189e-05,0.000198694105381787
"regulation of centrosome cycle",-1.9998665159901,1.88797713282111e-05,0.000198694105381787
"cytokinesis",-1.82823783860098,1.89283167327759e-05,0.000198694105381787
"response to ionizing radiation",-1.82936144450317,1.92381581111906e-05,0.000201067163043962
"cell-matrix adhesion",1.73292039066339,1.99953195024298e-05,0.00020810254793075
"positive regulation of mitotic nuclear division",-2.1947901781236,2.05355890236154e-05,0.000212831188332616
"skeletal muscle organ development",1.78534271456025,2.25271063541947e-05,0.000232498510163917
"regulation of meiotic cell cycle",-1.98563842494233,2.3678802670851e-05,0.000243370930355593
"double-strand break repair via nonhomologous end joining",-1.99998161596646,2.44191402830033e-05,0.000249943018516525
"regulation of RNA splicing",-1.76424926675943,2.72996823003012e-05,0.000278277008468503
"regulation of muscle adaptation",1.9648614349345,2.91189525831167e-05,0.000295605104706476
"maintenance of location",1.76284185682528,2.93400766634713e-05,0.000296634162838443
"positive regulation of DNA recombination",-2.01901939115736,3.06769245913897e-05,0.000308889195987285
"ATP biosynthetic process",1.9256739596436,3.17217409176737e-05,0.000318116405882906
"regulation of potassium ion transport",1.96567087378928,3.30231314748495e-05,0.000329831841383879
"regulation of tube size",1.80984003898947,3.3847431962665e-05,0.000336707184624583
"regulation of membrane repolarization",2.11915557082689,3.5548081886176e-05,0.000352210395328232
"chromosome condensation",-2.11698624928059,3.57418414907475e-05,0.000352719288336978
"positive regulation of transmembrane transport",1.83053328273293,3.69705046335308e-05,0.000363396587211332
"cellular response to peptide hormone stimulus",1.63976731230559,3.90744439736624e-05,0.000382558884279691
"cAMP/PKA signal transduction",2.00106583968808,4.14334305238541e-05,0.000404057509478688
"methylation",-1.71027720887269,4.22124528459708e-05,0.000410040179213606
