"go_description","NES","pval","padj"
"RNA-templated DNA biosynthetic process",-2.56803747706217,8.30632835585717e-10,1.66260540155141e-08
"regulation of heart rate",2.37896247673283,9.55290819207621e-10,1.89682545061865e-08
"regulation of telomere maintenance",-2.39321090357426,1.06965664331592e-09,2.10705380056357e-08
"cardiac ventricle morphogenesis",2.45003817033913,1.08120991109109e-09,2.11304173175439e-08
"nuclear transport",-1.96055964352155,1.25044650814437e-09,2.4246939321987e-08
"regulation of DNA-templated DNA replication",-2.60475162575277,1.30071325451267e-09,2.50261263387631e-08
"regulation of DNA repair",-2.06525864442828,1.65753456273006e-09,3.1646159882277e-08
"cardiac conduction",2.39910587611992,1.7962161156122e-09,3.40321251828204e-08
"muscle adaptation",2.35617810954717,2.11807749826178e-09,3.95268297044041e-08
"Golgi vesicle transport",1.96059568642104,2.10298548587024e-09,3.95268297044041e-08
"maturation of 5.8S rRNA",-2.60858838746513,2.28934604059187e-09,4.24041557667837e-08
"microtubule organizing center organization",-2.19589870405137,2.38910679898296e-09,4.39241709264867e-08
"ventricular cardiac muscle tissue development",2.39339753718813,2.70548943059878e-09,4.93751821084278e-08
"spindle assembly",-2.26492161130839,4.69757170050719e-09,8.51049121215974e-08
"homologous recombination",-2.47286002471109,5.19086435270867e-09,9.33603284306009e-08
"regulation of double-strand break repair",-2.19165431729001,5.46044730628371e-09,9.75023756416991e-08
"attachment of spindle microtubules to kinetochore",-2.5051882075363,5.50166711475608e-09,9.75366984201757e-08
"positive regulation of telomere maintenance",-2.4097789766704,6.33542280214729e-09,1.11521414148437e-07
"regulation of monoatomic ion transmembrane transport",2.03229905703513,6.76636700420233e-09,1.18268471157959e-07
"muscle hypertrophy",2.34188603554013,9.08435305341e-09,1.57673876073872e-07
"macroautophagy",1.83570852820262,1.06581966442412e-08,1.83705861604213e-07
"mitotic metaphase chromosome alignment",-2.36440115677959,1.23357144780929e-08,2.10417424532705e-07
"response to calcium ion",2.20351527929369,1.23774955607474e-08,2.10417424532705e-07
"regulation of monoatomic ion transport",1.90813718852492,1.53623802332753e-08,2.59383862169996e-07
"regulation of actin filament-based movement",2.43478642712575,1.59814258617504e-08,2.68012831005841e-07
"electron transport chain",2.28575954583742,1.83986549013808e-08,3.06479607149175e-07
"methylation",-2.02892608971165,1.88181352086699e-08,3.09315308529263e-07
"regulation of actin filament organization",1.95921238722807,1.8695117769377e-08,3.09315308529263e-07
"spliceosomal conformational changes to generate catalytic conformation",-2.52863132005181,1.97869285578803e-08,3.22339851178174e-07
"positive regulation of cell cycle phase transition",-2.2783699180494,1.98702647986545e-08,3.22339851178174e-07
"nuclear-transcribed mRNA catabolic process",-2.13772239095809,2.00538238268176e-08,3.23205134663385e-07
"sister chromatid cohesion",-2.43613006861366,2.1732146194025e-08,3.47994753894e-07
"regulation of DNA recombination",-2.21913935786899,2.29219661120101e-08,3.64413528670645e-07
"calcium-mediated signaling",2.10984689997239,2.30511377926234e-08,3.64413528670645e-07
"RNA 3'-end processing",-2.29660111039211,2.39310419588084e-08,3.75929405960522e-07
"spliceosomal complex assembly",-2.34958378436873,2.70817701573142e-08,4.22748135411659e-07
"sarcoplasmic reticulum calcium ion transport",2.41579753588962,2.73252826785464e-08,4.23883447550951e-07
"positive regulation of mitotic cell cycle phase transition",-2.2681565974113,3.28741340922177e-08,5.06792551657667e-07
"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",2.46648749642246,3.33536553039694e-08,5.11010941138593e-07
"regulation of telomere maintenance via telomerase",-2.47438771786526,3.38146123684561e-08,5.14894895082871e-07
"vesicle organization",1.80982917955527,3.7087817426622e-08,5.61292456419975e-07
"positive regulation of chromosome separation",-2.51723904610692,4.07941180046578e-08,6.13642429621581e-07
"cardiac muscle cell contraction",2.26952262341438,4.35235375475561e-08,6.50755543331531e-07
"centrosome duplication",-2.31960816475537,5.42864845379784e-08,8.0682068636684e-07
"regulation of cardiac muscle contraction by calcium ion signaling",2.44010834125486,6.1702303511624e-08,9.11578079261017e-07
"cardiac ventricle development",2.16851268970664,6.63124111827919e-08,9.73889967785145e-07
"striated muscle adaptation",2.36837692557673,8.36148017462311e-08,1.21999850255259e-06
"regulation of calcium ion transmembrane transport",2.17578401083547,8.40530797487885e-08,1.21999850255259e-06
"negative regulation of DNA metabolic process",-2.15945331021544,9.19538548477048e-08,1.32691551006979e-06
"regulation of muscle adaptation",2.27193586685412,9.69554500259534e-08,1.39100246800241e-06
"regulation of telomere maintenance via telomere lengthening",-2.34385197523955,1.08487050093012e-07,1.54749918580951e-06
"nucleoside triphosphate metabolic process",1.92448419814154,1.09691685449066e-07,1.55574150448333e-06
"proton transmembrane transport",2.12210231806188,1.10946652139177e-07,1.56459994664453e-06
"protein localization to chromosome, centromeric region",-2.49374351263086,1.38137078921645e-07,1.92615859485125e-06
"regulation of mRNA processing",-2.06031239002089,1.38051530158749e-07,1.92615859485125e-06
"mitotic G2 DNA damage checkpoint signaling",-2.46951000707498,1.60659430635243e-07,2.22769109964622e-06
"negative regulation of mRNA metabolic process",-2.17060391081256,1.70541259625347e-07,2.35157447994506e-06
"mRNA catabolic process",-1.88166485464319,1.77925379619063e-07,2.43983863101942e-06
"release of sequestered calcium ion into cytosol by endoplasmic reticulum",2.3842975229611,2.0008135201308e-07,2.72858195437618e-06
"ventricular cardiac muscle tissue morphogenesis",2.3521490665143,2.02073055970313e-07,2.74068483561922e-06
"cell communication involved in cardiac conduction",2.26552738863271,2.05590768743491e-07,2.77324069576818e-06
"interstrand cross-link repair",-2.37920329902971,2.28406717520918e-07,3.06435390749686e-06
"cell-substrate adhesion",1.79053592424769,2.38653005838578e-07,3.18460623920081e-06
"heart growth",2.17242295950267,2.83857027985202e-07,3.7675569168945e-06
"protein localization to plasma membrane",1.86218334434156,2.88404928024899e-07,3.8075586774351e-06
"vacuolar transport",2.00027330669812,3.4230543365821e-07,4.49524913407236e-06
"nucleobase-containing compound transport",-1.91154179384505,3.48289325948763e-07,4.54975845792016e-06
"cell-matrix adhesion",1.90912988066712,3.73468072162703e-07,4.85312960789439e-06
"base-excision repair",-2.33035222890913,4.22889837831913e-07,5.46673217447296e-06
"positive regulation of chromosome segregation",-2.45116615180745,4.28625317699561e-07,5.51216600274772e-06
"centriole assembly",-2.39582996637026,4.785862127581e-07,6.12294319621446e-06
"regulation of double-strand break repair via homologous recombination",-2.19537145949451,5.20343839138566e-07,6.62304312175344e-06
"transcription by RNA polymerase I",-2.18507129487054,6.16080581110796e-07,7.8015918485561e-06
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-2.42893421886471,6.5164580056242e-07,8.21007551774582e-06
"tRNA processing",-2.03719940983078,8.74893054074623e-07,1.09670937384506e-05
"tRNA modification",-2.14958381180045,9.48551319458797e-07,1.18306752507374e-05
"regulation of release of sequestered calcium ion into cytosol",2.15889325607691,1.03684742400332e-06,1.28672765318812e-05
"regulation of transmembrane transport",1.75412804033525,1.04751177468812e-06,1.29349463919199e-05
"regulation of autophagy",1.73097790314172,1.12745336948078e-06,1.38531646685708e-05
"mitochondrial electron transport, NADH to ubiquinone",2.30689455488123,1.17681528339967e-06,1.43884509034383e-05
"cytoplasmic translation",-1.89092050322779,1.39183821328423e-06,1.69340315949581e-05
"regulation of supramolecular fiber organization",1.71812811769529,1.42986061715568e-06,1.73117758623434e-05
"rRNA modification",-2.34187116876275,1.49113701519616e-06,1.78823434635079e-05
"nucleosome organization",-2.12008349308592,1.491396090631e-06,1.78823434635079e-05
"response to metal ion",1.79677365683299,1.66096704400067e-06,1.98198086692773e-05
"outflow tract septum morphogenesis",2.32639058074603,1.73400992115026e-06,2.05924049009328e-05
"positive regulation of mitotic cell cycle",-2.00218456779592,1.79177443207927e-06,2.11770673353369e-05
"wound healing",1.72665075719788,1.80659389282475e-06,2.12510238956921e-05
"chromosome organization involved in meiotic cell cycle",-2.27683418717191,1.87803559557826e-06,2.19871903218172e-05
"multicellular organismal movement",2.20601075292211,1.89944796523146e-06,2.21334734727911e-05
"cytosolic transport",2.01531274566285,1.97387932013571e-06,2.28933106195179e-05
"regulation of calcium ion transport",1.92993968114998,2.05940053445198e-06,2.37741029139991e-05
"nucleoside triphosphate biosynthetic process",2.06911718383597,2.68380627996206e-06,3.08389221614159e-05
"regulation of cell cycle checkpoint",-2.23591492181448,2.69690460932838e-06,3.08466232274334e-05
"tricarboxylic acid cycle",2.29102085032887,2.87958868058403e-06,3.27850417670163e-05
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",-2.31522776777524,2.97389722638994e-06,3.37041685657527e-05
"lipid oxidation",2.06201907297567,3.30173148096228e-06,3.72495342534017e-05
"negative regulation of mRNA processing",-2.29670395142036,3.43393651944091e-06,3.85657486029517e-05
"striated muscle cell apoptotic process",2.19677252676989,3.45181436046792e-06,3.85919064985647e-05
"regulation of mRNA splicing, via spliceosome",-1.99977909857651,3.90287253347348e-06,4.34391463142654e-05
"lipid modification",1.93660322782599,4.21583644026272e-06,4.67129734139824e-05
"mRNA export from nucleus",-2.11322013413626,4.60907204553575e-06,5.0843185853421e-05
"mitotic spindle assembly",-2.12315209948606,4.83885841207876e-06,5.29076941796453e-05
"nucleus organization",-1.93752432816502,4.82031122458632e-06,5.29076941796453e-05
"protein localization to nucleus",-1.68444137918201,5.22244273173588e-06,5.68513283340722e-05
"muscle cell proliferation",1.88741672327608,5.41239707368426e-06,5.86618757069185e-05
"endocardial cushion development",2.15782985604765,5.53388614888446e-06,5.97178496588314e-05
"homologous chromosome segregation",-2.22738505980568,5.88614584213994e-06,6.32442163644646e-05
"protein-DNA complex organization",-1.91095525129534,6.22894710424282e-06,6.66389944514254e-05
"organ growth",1.89856449746662,6.31583129431209e-06,6.72785118990669e-05
"positive regulation of cell cycle G2/M phase transition",-2.29537196127045,6.78229965248682e-06,7.19387510148388e-05
"regulation of membrane potential",1.65767114423613,6.87107443081969e-06,7.25702414352957e-05
"chromosome condensation",-2.21412735653642,7.35517727609009e-06,7.73540254205746e-05
"nucleoside monophosphate biosynthetic process",-2.24917693474616,8.11635865175037e-06,8.49991652896389e-05
"snRNA processing",-2.27762274319807,8.33726576915644e-06,8.69457715926314e-05
"retrograde transport, endosome to Golgi",2.02629825650013,8.56443731264683e-06,8.87943288048408e-05
"response to oxygen levels",1.72973668190489,8.58607530747856e-06,8.87943288048408e-05
"double-strand break repair via nonhomologous end joining",-2.0744619994984,9.57786306898328e-06,9.86400669594046e-05
"fatty acid metabolic process",1.67286255556434,1.10886061970988e-05,0.00011372694455041
"positive regulation of monoatomic ion transport",1.95522378274075,1.12471426250304e-05,0.000114878222202985
"RNA 5'-end processing",-2.2232772994142,1.16245850098629e-05,0.000118246803256064
"positive regulation of DNA repair",-1.89896537024856,1.20155656827292e-05,0.000121725036834832
"maturation of LSU-rRNA",-2.2663077072553,1.2123494237754e-05,0.000122319157309371
"snRNA metabolic process",-2.11384303562632,1.38674229885251e-05,0.000139347950840159
"regulation of endocytosis",1.72513492035359,1.41692881707158e-05,0.000141807150160148
"glucan metabolic process",2.03975594486981,1.44769462062094e-05,0.000144304339292416
"actin filament depolymerization",2.08629501114903,1.53596861260111e-05,0.00015144261996922
"energy reserve metabolic process",2.03411025482444,1.53557912575942e-05,0.00015144261996922
"cardiac muscle cell action potential",2.00142274641441,1.53761241870441e-05,0.00015144261996922
"response to ionizing radiation",-1.87562391233062,1.54924151565496e-05,0.000151984879124728
"response to peptide hormone",1.61221245989819,1.73975262500946e-05,0.000170002599026515
"calcium ion homeostasis",1.72333671088367,1.76291187053052e-05,0.000171590088731637
"endothelial cell migration",1.75311612773686,1.83511303928944e-05,0.000177919943887359
"negative regulation of RNA splicing",-2.17643038386627,2.17354636727995e-05,0.000209912143330305
"negative regulation of actin filament polymerization",2.02723785395027,2.55861138870894e-05,0.000246142382433162
"positive regulation of DNA recombination",-2.0435225365951,2.57261515820743e-05,0.00024653400859733
"SMAD protein signal transduction",2.0017010411323,2.85146308951919e-05,0.000272205053391794
"autophagosome organization",1.86608699765118,2.90876352514329e-05,0.000276611152084507
"purine-containing compound biosynthetic process",1.71842994117572,2.97590331877375e-05,0.000281915726610551
"membraneless organelle assembly",-1.58019339213336,3.0421903825302e-05,0.000287099487811405
"cellular response to calcium ion",1.93915871201897,3.21908401335882e-05,0.000302642671255931
"ribonucleoside monophosphate biosynthetic process",-2.2048756279217,3.36958961835095e-05,0.000315597035198002
"ribose phosphate metabolic process",1.60120570775412,3.79364110962083e-05,0.000353978091506726
"regulation of transcription by RNA polymerase I",-2.10575650206312,3.84959866747433e-05,0.000356518801965347
"skeletal muscle organ development",1.7853560048837,3.84652336603021e-05,0.000356518801965347
"actin polymerization or depolymerization",1.7992389430175,3.87073739787302e-05,0.000357143874405979
"positive regulation of transcription by RNA polymerase I",-2.16746343976632,3.98037059673036e-05,0.000365899252632769
"smooth muscle cell proliferation",1.87943925606272,4.09157103969577e-05,0.000374733554262911
"rRNA methylation",-2.16441548413945,4.1856024280687e-05,0.000381936221561269
"cAMP/PKA signal transduction",2.02912648883491,4.65341369330407e-05,0.00042152455426207
"ribosome assembly",-1.99070018219432,4.64921064127453e-05,0.00042152455426207
"calcium ion transmembrane transport",1.68373720960475,4.87523688775952e-05,0.000440012289287969
"endosome organization",1.92359202862705,4.90280641469932e-05,0.000440897301495787
"regulation of heart growth",1.98524551558302,4.95093401673757e-05,0.000443617986626088
"cellular response to peptide hormone stimulus",1.63896962211624,5.3110698076437e-05,0.000474175369157254
"regulation of cardiac muscle cell action potential",2.1205409572692,5.43292081218958e-05,0.000483315751105897
"ventricular cardiac muscle cell action potential",2.09433079301424,5.59818076084934e-05,0.000496238737443859
"vascular process in circulatory system",1.68848295650159,5.92778876317356e-05,0.000523586181857536
"regulation of tube size",1.80613068192233,6.03442746362977e-05,0.000531115211515216
"negative regulation of protein polymerization",1.9795298611723,6.06698917028429e-05,0.000532094244545782
"endosome to lysosome transport",1.92790102359899,6.35725452921451e-05,0.000555588230334874
"regulation of spindle checkpoint",-2.17237052371649,6.49081893191122e-05,0.000564639693251043
"negative regulation of smooth muscle cell proliferation",1.99404887633464,6.50632362086214e-05,0.000564639693251043
"cardiac atrium development",2.04184054066835,6.67573951106928e-05,0.000577323535417211
"pharyngeal system development",2.09187214748829,6.82341518856184e-05,0.000588045711736475
"fatty acid beta-oxidation",1.95520926864752,6.89192583572159e-05,0.000591894807067854
"regulation of protein depolymerization",1.89720429417194,7.06980344272636e-05,0.000602567281854335
"negative regulation of supramolecular fiber organization",1.81472452519872,7.11110121340461e-05,0.000602567281854335
"vacuole organization",1.65270622119753,7.10863064212069e-05,0.000602567281854335
"calcium ion transport",1.59249813584646,7.11330433454151e-05,0.000602567281854335
"lipid catabolic process",1.65149667888107,7.17588413962091e-05,0.000605800831106772
"female meiotic nuclear division",-2.05752323040088,7.20186187694111e-05,0.000605932921307384
"negative regulation of actin filament depolymerization",1.99766261536932,7.3929988390588e-05,0.000615628769940624
"lysosomal transport",1.81187205547938,7.39297586780552e-05,0.000615628769940624
"post-Golgi vesicle-mediated transport",1.81145998889745,7.40608731379808e-05,0.000615628769940624
"protein localization to membrane",1.53583718342174,7.41631757503008e-05,0.000615628769940624
"regulation of microtubule-based process",-1.64484605100504,7.68134602243765e-05,0.000635503360923008
"skeletal muscle contraction",2.04409304960943,7.76334796016393e-05,0.000640153808542421
"GO:0051208",1.90398065482569,8.16439830433746e-05,0.000670994589118065
"tRNA methylation",-2.05016967975723,8.2734652799283e-05,0.000677714218639671
"glomerulus development",1.89733457410467,8.46263914655314e-05,0.00069092994611003
"positive regulation of double-strand break repair",-1.87128437225291,8.56803993390016e-05,0.000697241807080006
"regulation of mRNA catabolic process",-1.67406527120586,8.59634003448608e-05,0.000697258691686093
"cell cycle G1/S phase transition",-1.61709148025532,8.86715007522126e-05,0.000716881644517888
"polysaccharide metabolic process",1.92295715608224,9.52021749036642e-05,0.000767181162697709
"autophagosome maturation",1.92066100606112,9.69452415054952e-05,0.00077869931850045
"regulation of muscle hypertrophy",1.96718219323344,9.78685295198333e-05,0.000781880570292069
"protein localization to cell periphery",1.5683879025038,9.79713365676203e-05,0.000781880570292069
"somatic diversification of immune receptors",-1.95996642730732,9.85202766315142e-05,0.000783741431408392
"regulation of blood pressure",1.82283502763884,0.000100166500723043,0.000794291548864512
"regulation of macroautophagy",1.71071132379916,0.000105881734546702,0.000836937787085715
"regulation of centrosome cycle",-1.97737354833715,0.000111518021396992,0.000878691203515349
"cellular response to toxic substance",1.81883250520157,0.000113487852098316,0.000891382433253226
"attachment of mitotic spindle microtubules to kinetochore",-2.07057426640471,0.000122137138732703,0.000956291414304636
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",-2.02771981000145,0.000126276719831242,0.000985593769248877
"positive regulation of monoatomic ion transmembrane transport",1.85786603082859,0.000136598334560698,0.00106281212031239
"negative regulation of gene expression, epigenetic",-1.66142962533247,0.00014112127688074,0.00109457190380624
"mRNA cis splicing, via spliceosome",-2.11652475528554,0.000142050804327086,0.0010983492097814
